1481406354
task	R	T	Offset	priority	allocation
98	34	100	9.22	24	1
99	26.5	100	0	25	1
----------------------------------------
1481406514
task	R	T	Offset	priority	allocation
0	103	1000	29.8	22	1
1	0.000729	1	0	0	0
2	0.0183	1	0	1	0
3	163	500	73.4	36	0
4	166	1000	0	41	0
5	93.3	1000	0.238	23	1
6	0.112	4	0	5	0
7	0.622	10	0	12	0
8	89.5	500	0	37	0
9	105	400	26.8	32	0
10	0.17	4	0	6	0
11	432	1000	150	43	0
12	0.0186	1	0	0	1
13	0.238	4	0	7	0
14	1.11	10	0	13	0
15	84	400	0	33	0
16	13.6	100	0.444	24	0
17	171	400	84	20	2
18	0.505	5	0	9	0
19	86.2	400	1.78	34	0
20	1.75	50	0	15	0
21	35.9	200	1.32	14	2
22	21.6	500	0	18	1
23	0.141	4	0	3	1
24	0.51	5	0	10	0
25	544	1000	150	46	0
26	88.7	400	0	35	0
27	3.86	50	0	17	0
28	11.2	100	0	23	0
29	0.0787	2	0	2	1
30	44.3	200	0.141	15	2
31	575	1000	432	23	2
32	1.8	2	1.75	2	2
33	0.0798	2	0	3	2
34	50.7	200	1.11	16	2
35	191	500	166	19	1
36	3.93	50	0	18	0
37	92.1	500	0.512	38	0
38	0.514	10	0	8	1
39	396	1000	0	47	0
40	242	500	147	40	0
41	359	1000	0	44	0
42	3.45	50	0	16	0
43	0.295	4	0	4	1
44	0.732	20	0	7	2
45	6.53	100	0	10	2
46	175	1000	0	42	0
47	27.2	100	1.12	25	0
48	0.302	5	0	5	1
49	119	1000	0	22	2
50	1.12	40	0	14	0
51	171	1000	57.3	24	1
52	4.33	50	0	19	0
53	146	200	88.7	17	2
54	0.00272	1	0	0	2
55	1.32	50	0	12	1
56	0.208	5	0	5	2
57	8.49	400	0	16	1
58	34.6	500	0	20	1
59	36.3	200	6.53	26	0
60	3.62	50	0	9	2
61	0.278	4	0	8	0
62	116	400	105	17	1
63	99.5	1000	0	21	2
64	202	1000	4.43	24	2
65	25.5	200	0	13	2
66	4.27	5	3.86	6	1
67	66.3	200	0	30	0
68	91.7	500	0	39	0
69	4.45	5	3.93	6	2
70	1.76	200	0	15	1
71	0.942	20	0	10	1
72	244	1000	92.1	25	1
73	38.2	200	0	27	0
74	26.1	50	21.6	20	0
75	41.6	100	34.6	11	2
76	46.3	200	0	29	0
77	166	1000	0	26	1
78	1.83	2	1.76	4	0
79	0.036	1	0	2	0
80	0.619	5	0	11	0
81	1.59	50	0	13	1
82	0.0859	2	0	4	2
83	65.5	200	0	18	2
84	0.0572	1	0	1	1
85	0.444	5	0	7	1
86	16.8	100	3.45	12	2
87	5.57	50	0	21	0
88	0.03	1	0	1	2
89	47.9	50	41.6	22	0
90	43.3	50	41.6	14	1
91	392	1000	0	45	0
92	83	400	0	19	2
93	1.12	20	0	11	1
94	35.5	500	0	21	1
95	0.835	10	0	9	1
96	0.837	20	0	8	2
97	76.9	200	0	31	0
98	0.0657	1	0	3	0
99	42.8	200	0	28	0
----------------------------------------
1481406517
task	R	T	Offset	priority	allocation
0	0.108	2	0	3	0
1	3.23	40	0	22	0
2	0.129	2	0	4	0
3	0.266	2	0	5	0
4	5.78	200	0.266	12	2
5	388	1000	0.614	38	0
6	24	400	0.0632	15	2
7	8.67	20	5.78	18	0
8	1.05	10	0	12	0
9	3.08	20	0	19	0
10	1.03	40	0	8	2
11	1.18	10	0	14	0
12	18.2	100	0.178	27	0
13	87.5	500	0.65	33	0
14	1.24	10	0	15	0
15	1.92	10	0	16	0
16	36.5	40	30.7	23	0
17	29.2	400	0.0193	16	2
18	174	1000	4.58	35	0
19	0.613	5	0	9	0
20	0.786	10	0	10	1
21	0.0469	2	0	2	1
22	3.62	5	3.08	6	1
23	0.178	5	0	5	2
24	0.385	10	0	6	2
25	66.3	400	0	35	1
26	0.979	10	0	11	1
27	3.97	40	0	20	1
28	9.54	100	0	26	1
29	14.5	100	0.12	27	1
30	0.599	5	0	7	1
31	0.26	4	0	4	1
32	137	400	0	37	1
33	4.78	5	3.97	10	0
34	49.4	200	0.266	32	1
35	0.132	4	0	3	2
36	86.5	500	0.132	32	0
37	7.32	50	0	25	0
38	12.5	50	0	26	0
39	59.4	400	0	31	0
40	66.9	400	36.5	17	2
41	33.9	400	0.307	18	2
42	56.7	200	0	33	1
43	0.6	1	0.599	0	0
44	18.1	100	0	30	1
45	0.401	4	0	8	0
46	9.08	400	0	14	2
47	2.66	20	0	15	1
48	148	1000	0	39	1
49	2.53	50	0	9	2
50	97.6	1000	1.84	34	0
51	46.5	400	0	29	0
52	2.66	20	0	16	1
53	0.621	5	0	8	1
54	1.81	10	0	12	1
55	0.0193	1	0	1	0
56	15.7	50	7.32	24	1
57	2.36	10	0	17	0
58	0.307	4	0	7	0
59	296	1000	0	37	0
60	16.9	100	1.05	28	1
61	273	1000	0	36	0
62	17.1	100	0	29	1
63	36.5	400	0	19	2
64	0.0281	1	0	0	1
65	4.58	40	0	21	1
66	3.07	20	0.0199	18	1
67	8.87	200	0	13	2
68	2.88	100	0	10	2
69	3.95	100	0	11	2
70	7.61	50	0	23	1
71	2.78	20	0	17	1
72	2.52	20	0	14	1
73	0.0277	1	0	2	0
74	49.8	400	0	30	0
75	0.285	4	0	5	1
76	0.0632	4	0	3	1
77	0.166	4	0	4	2
78	0.902	5	0	11	0
79	18.7	20	18.1	7	2
80	4.77	40	0	22	1
81	34.9	100	0.266	31	1
82	43.5	1000	0.307	20	2
83	1.84	10	0	13	1
84	138	500	0	38	1
85	0.65	5	0	9	1
86	0.111	2	0	1	2
87	0.0407	1	0	1	1
88	3.09	20	0	20	0
89	54.4	200	34.9	28	0
90	5.9	40	0	24	0
91	10.7	100	1.24	25	1
92	13.9	20	10.7	21	0
93	63.6	200	0	34	1
94	85.7	400	0	36	1
95	3.1	20	0	19	1
96	0.271	2	0	6	0
97	5.72	10	4.58	13	0
98	0.0199	1	0	0	2
99	0.12	4	0	2	2
----------------------------------------
1481406526
task	R	T	Offset	priority	allocation
0	0.604	10	0	10	2
1	36.6	500	1.1	20	2
2	0.427	5	0	10	0
3	1.89	20	0	19	1
4	56.8	400	0	35	0
5	0.672	10	0	11	0
6	260	1000	1.89	41	0
7	72.3	100	56.8	28	1
8	1.49	20	0	14	0
9	0.298	4	0	9	0
10	1.11	20	0	12	0
11	0.0266	2	0	2	1
12	18	400	1.11	19	2
13	1.46	20	0	13	0
14	3.89	40	0	20	1
15	0.707	5	0	13	1
16	0.194	2	0	4	1
17	5.4	20	3.89	15	0
18	0.248	2	0	5	1
19	0.0808	2	0	2	2
20	1.59	20	0	16	0
21	3.63	40	1.46	14	2
22	46.1	200	0.577	33	0
23	144	500	0.419	37	0
24	3.93	40	0.248	19	0
25	0.201	2	0	5	0
26	1.79	20	0	17	0
27	0.419	2	0	6	1
28	32.8	200	0	30	0
29	9.47	100	0	24	0
30	0.202	2	0	6	0
31	1.6	20	0	13	2
32	0.458	2	0	7	1
33	0.885	10	0	11	2
34	0.125	2	0	3	2
35	2.42	40	0	15	2
36	0.577	4	0	11	1
37	7.38	50	0	24	1
38	0.127	2	0	3	1
39	0.493	2	0	8	1
40	37.6	200	0	32	0
41	0.985	10	0	16	1
42	36.7	100	7.38	27	0
43	0.021	1	0	0	0
44	1.1	20	0	18	1
45	37.1	200	0.0149	31	0
46	23.9	100	0	25	0
47	0.288	4	0	8	0
48	5.45	40	0	21	1
49	0.675	4	0	12	1
50	0.0149	1	0	0	1
51	0.0321	1	0	0	2
52	0.0565	1	0	2	0
53	29.6	100	0.215	28	0
54	177	1000	37.1	21	2
55	33.6	100	1.1	29	0
56	140	400	0.493	36	0
57	0.0222	1	0	1	1
58	11.7	100	0	26	1
59	1.03	20	0	17	1
60	0.134	2	0	4	2
61	0.111	2	0	4	0
62	0.0526	1	0	1	0
63	0.285	2	0	7	0
64	0.515	2	0	9	1
65	4.48	40	0	20	0
66	29.7	400	0.0321	30	1
67	2.49	40	0	16	2
68	121	1000	46.1	34	1
69	52.8	500	0	33	1
70	0.0518	1	0	1	2
71	7.37	40	0	23	1
72	9.07	50	0	25	1
73	1.94	10	1.59	9	2
74	50	200	2.42	34	0
75	3.13	20	0	18	0
76	4.9	50	0	23	0
77	4.8	40	0	21	0
78	4.81	40	0	22	0
79	0.807	5	0	14	1
80	0.922	10	0	12	2
81	0.0696	1	0	3	0
82	176	1000	0	39	0
83	0.248	4	0	7	2
84	0.215	4	0	6	2
85	153	500	0.134	38	0
86	0.521	2	0	10	1
87	26.4	100	0	26	0
88	2.04	4	1.79	8	2
89	6.76	100	0	17	2
90	250	1000	0	40	0
91	12.9	100	0	27	1
92	116	1000	0.111	35	1
93	38.9	400	0	31	1
94	48.8	400	0	32	1
95	0.832	5	0	15	1
96	0.147	2	0	5	2
97	27.5	400	0	29	1
98	6.53	40	0	22	1
99	9.33	100	0	18	2
----------------------------------------
1481406527
task	R	T	Offset	priority	allocation
0	4.36	20	0	17	0
1	17.7	100	0.876	29	0
2	6.27	20	0	18	0
3	189	1000	14	35	0
4	0.0649	2	0	2	0
5	29.6	200	0	26	1
6	0.108	2	0	2	1
7	55	400	0	30	1
8	8.99	100	0	23	1
9	1.07	10	0	9	0
10	0.121	2	0	3	0
11	112	200	73.3	31	0
12	0.214	5	0	6	0
13	73.3	400	18.3	31	1
14	34.8	100	1.41	30	0
15	7.54	100	0	22	1
16	135	1000	0	38	1
17	0.0172	1	0	0	0
18	0.728	10	0	10	1
19	0.152	2	0	3	1
20	12.9	100	0	27	0
21	0.876	10	0	11	1
22	0.156	2	0	4	1
23	6.6	50	0	21	1
24	0.523	5	0	7	0
25	7.75	40	0	25	0
26	46.9	500	1.07	17	2
27	10.1	40	1.36	26	0
28	6.77	100	1.07	9	2
29	3.86	50	0	8	2
30	97.7	500	6.27	35	1
31	1.29	10	0	11	0
32	1.51	5	1.29	7	1
33	3.73	20	1.45	15	0
34	1.13	10	0	10	0
35	0.341	10	0	9	1
36	1.45	20	0	15	1
37	6.31	20	0	19	0
38	1.84	20	0	16	1
39	6.65	20	0	20	0
40	74.1	1000	12.9	19	2
41	13.3	100	1.65	24	1
42	6.41	40	0.523	19	1
43	0.941	5	0.876	4	2
44	6.9	20	0	21	0
45	7.15	20	0.0419	22	0
46	1.08	10	0	12	1
47	1.65	10	0	12	0
48	56.5	400	1.13	32	1
49	99.4	500	1.13	36	1
50	0.0172	1	0	0	1
51	8.13	10	6.77	13	1
52	137	1000	0	39	1
53	120	500	0	37	1
54	0.0397	1	0	0	2
55	0.0446	2	0	2	2
56	0.527	5	0	8	0
57	59.3	500	0	18	2
58	20.8	400	0.196	13	2
59	1.45	40	0	7	2
60	30.9	500	0	15	2
61	98.8	400	0.0397	34	0
62	7.75	40	0.224	24	0
63	257	1000	0	36	0
64	58.9	200	6.41	33	0
65	2.22	20	0	14	0
66	0.0509	4	0	3	2
67	1.41	10	0	14	1
68	0.0476	1	0	1	0
69	339	1000	0	37	0
70	449	1000	339	20	2
71	0.0544	1	0	1	1
72	88.5	500	0	34	1
73	0.252	5	0	8	1
74	7.57	200	0	11	2
75	0.339	10	0	5	2
76	0.525	10	0	6	2
77	56.3	400	4.36	28	1
78	169	1000	0	40	1
79	0.207	4	0	5	0
80	8.09	200	0	12	2
81	0.221	4	0	6	1
82	51.8	200	0	32	0
83	1.7	10	0	13	0
84	52.7	400	0	29	1
85	14	200	0	25	1
86	1.99	20	0	17	1
87	289	500	257	16	2
88	0.0419	1	0	1	2
89	0.127	2	0	4	0
90	178	400	98.8	33	1
91	16.7	100	0	28	0
92	21.4	400	0	14	2
93	9.07	20	1.84	23	0
94	7.35	100	0	10	2
95	6.51	50	0	20	1
96	5.55	40	0	18	1
97	0.196	2	0	5	1
98	43.5	200	6.9	27	1
99	2.86	20	0	16	0
----------------------------------------
1481406528
task	R	T	Offset	priority	allocation
0	75.5	200	0	29	0
1	2.1	20	0	13	0
2	6.99	50	0	17	0
3	63.9	200	0.101	28	0
4	86.7	400	1.14	31	0
5	1.2	10	0	13	1
6	114	400	19.5	32	0
7	0.0471	1	0	0	0
8	20.9	100	1.02	28	1
9	1.02	20	0	10	2
10	12.8	50	0	23	1
11	0.00386	1	0	0	1
12	0.0794	1	0	1	0
13	0.128	2	0	5	1
14	31.4	200	0	25	0
15	0.00458	1	0	1	1
16	7.41	50	0	21	1
17	0.738	10	0	7	0
18	0.645	10	0	7	2
19	44.8	500	0	20	2
20	0.0413	2	0	1	2
21	3.24	40	0	17	1
22	149	1000	0	37	1
23	0.066	1	0	2	1
24	0.717	10	0	11	1
25	3.29	40	0	18	1
26	0.991	10	0	8	0
27	7.11	50	0	18	0
28	2.11	20	0	14	0
29	2.91	20	2.11	9	2
30	8.4	10	7.11	14	1
31	5.51	40	0	19	1
32	1.31	10	0	15	1
33	3.72	5	3.29	5	0
34	125	1000	0.227	35	0
35	13.7	100	0	21	0
36	83.4	400	0.0417	30	0
37	13.8	50	0	24	1
38	0.227	4	0	7	1
39	1.45	20	0	12	0
40	131	500	2.91	36	1
41	0.00398	1	0	0	2
42	0.0583	4	0	3	2
43	0.322	4	0	3	0
44	32.6	500	6.99	18	2
45	1	10	0	9	0
46	0.227	4	0	8	1
47	0.103	4	0	4	2
48	123	500	0	34	0
49	5.56	50	0	16	0
50	0.0829	1	0	2	0
51	0.209	2	0	6	1
52	15.6	50	0	25	1
53	92.1	400	2.64	34	1
54	1.43	10	0	10	0
55	0.409	4	0	4	0
56	13.1	100	0	20	0
57	39.4	400	0	32	1
58	37.6	200	0.0413	26	0
59	18.2	100	0	22	0
60	63.5	200	0.227	27	0
61	29.5	200	0	31	1
62	71.1	400	1.55	33	1
63	168	1000	0	38	1
64	1.38	10	0	16	1
65	1.14	10	0	12	1
66	0.0738	1	0	3	1
67	28.8	200	0	30	1
68	0.313	5	0	10	1
69	17.3	50	0.645	26	1
70	3.83	40	0	14	2
71	148	1000	0	36	0
72	1.68	5	1.43	6	2
73	18.3	100	0	23	0
74	7.81	50	0	19	0
75	19.6	100	0	24	0
76	0.664	10	0	8	2
77	18.4	100	0	27	1
78	0.0417	2	0	2	2
79	7.76	50	0	22	1
80	6.22	40	0	20	1
81	21.6	100	0	29	1
82	160	1000	0	37	0
83	0.256	4	0	9	1
84	0.704	5	0	6	0
85	8.86	10	7.41	11	0
86	11.4	400	0	17	2
87	127	400	0	35	1
88	6.62	100	0	15	2
89	1.56	20	0	11	2
90	11.1	200	0	16	2
91	2.53	20	0	15	0
92	323	1000	0	38	0
93	98.7	400	0	33	0
94	2.64	40	0	13	2
95	0.122	4	0	5	2
96	1.8	40	0	12	2
97	49.5	1000	0	21	2
98	28.9	500	0	19	2
99	0.101	1	0	4	1
----------------------------------------
1481406529
task	R	T	Offset	priority	allocation
0	7.4	100	0	21	1
1	12.2	20	7.4	27	0
2	211	500	36.9	41	0
3	0.0889	2	0	3	2
4	0.761	5	0	16	0
5	38.5	1000	0	12	2
6	139	500	0	39	0
7	0.00564	1	0	0	0
8	272	500	139	33	1
9	7.58	100	0	22	1
10	1.78	20	0	23	0
11	25.9	100	8.74	31	0
12	174	1000	133	13	2
13	0.0912	2	0	4	0
14	0.982	5	0	17	0
15	0.533	5	0	11	1
16	8.93	10	7.58	7	2
17	33.2	400	0	26	1
18	0.00845	1	0	0	1
19	411	1000	211	40	1
20	10	50	7.4	8	2
21	0.377	4	0	10	0
22	0.0958	2	0	5	0
23	374	1000	139	42	0
24	0.303	4	0	9	0
25	0.985	1	0.982	0	2
26	7.1	50	0	30	0
27	6.85	40	0	29	0
28	0.395	4	0	12	0
29	68	400	0.303	28	1
30	2.69	20	0	24	0
31	0.0275	1	0	1	0
32	19.6	100	10	23	1
33	0.655	5	0	6	2
34	0.0119	1	0	1	1
35	0.273	4	0	7	1
36	139	500	0.0151	34	1
37	0.383	4	0	11	0
38	73.8	500	0.0969	38	0
39	6.2	40	0	28	0
40	3.2	50	0	18	1
41	117	500	0	31	1
42	130	500	0	32	1
43	1.06	5	0	18	0
44	0.0151	1	0	1	2
45	148	500	0	35	1
46	4.94	50	0	19	1
47	157	500	0	36	1
48	5.73	100	0	20	1
49	0.555	10	0	12	1
50	222	1000	6.2	41	1
51	0.0279	1	0	2	0
52	3.76	20	0	26	0
53	1.56	40	0	16	1
54	47.3	400	0.118	27	1
55	1.56	10	0	22	0
56	231	1000	3.76	42	1
57	0.149	1	0.0958	2	1
58	0.0659	1	0	2	2
59	0.697	5	0	15	0
60	0.244	4	0	8	0
61	56.9	400	0	35	0
62	161	500	1.78	37	1
63	73	400	1.78	29	1
64	58.4	400	0	36	0
65	67.7	400	0	37	0
66	7.98	20	6.85	14	1
67	1.15	5	0	19	0
68	0.0969	2	0	4	1
69	15.3	200	0	24	1
70	1.48	10	0	21	0
71	3.16	20	0	25	0
72	36.9	500	0	11	2
73	0.901	10	0	13	1
74	16.6	200	1.56	9	2
75	0.55	4	0	13	0
76	0.109	2	0	6	0
77	29.1	500	0	10	2
78	29.8	200	0	34	0
79	0.0464	1	0	3	0
80	1.43	10	0	20	0
81	0.112	2	0	5	1
82	381	500	222	40	0
83	18.8	100	0	32	0
84	171	500	0	38	1
85	179	1000	0	39	1
86	0.269	4	0	6	1
87	92.5	400	0	30	1
88	0.277	4	0	8	1
89	2.95	40	0	17	1
90	18.4	400	0	25	1
91	0.457	4	0	9	1
92	0.0721	1	0	3	1
93	0.673	2	0.555	4	2
94	0.617	4	0	5	2
95	0.141	2	0	7	0
96	0.632	4	0	14	0
97	39.9	40	38.5	15	1
98	0.478	4	0	10	1
99	27.8	100	0	33	0
----------------------------------------
1481406532
task	R	T	Offset	priority	allocation
0	88.5	400	0	30	0
1	0.314	5	0	8	0
2	0.0195	1	0	0	0
3	35.5	400	0	27	0
4	16.5	200	0.104	23	0
5	8.35	50	0	18	0
6	134	1000	0	36	0
7	1.53	40	0	14	0
8	4.12	40	0.95	15	0
9	24.4	200	0	24	0
10	1.19	20	0	16	1
11	28.3	200	0	25	0
12	1.31	2	1.19	4	2
13	46.6	500	0.683	28	1
14	5.81	50	0	23	1
15	0.754	5	0	9	2
16	107	500	0	25	2
17	97.4	400	5.53	31	0
18	0.00664	1	0	0	1
19	36.9	40	35.5	18	1
20	0.655	10	0	11	0
21	0.449	4	0	7	2
22	0.683	4	0	8	2
23	0.86	10	0	11	2
24	8.85	50	0	19	0
25	0.00274	1	0	0	2
26	0.601	5	0	10	1
27	0.602	10	0	11	1
28	43.9	400	0	20	2
29	1.63	2	1.53	4	1
30	9.78	10	8.85	14	1
31	93.5	500	0	24	2
32	0.221	2	0	5	1
33	1.26	20	0	17	1
34	125	500	9.78	26	2
35	5.92	100	1.06	17	2
36	98.8	400	8.85	23	2
37	66.5	400	0	21	2
38	130	500	0	27	2
39	0.44	5	0	9	0
40	3.5	50	0	21	1
41	0.95	20	0	15	1
42	3.86	50	0	22	1
43	119	500	0	35	0
44	1.49	5	0.95	10	0
45	136	1000	0	37	0
46	0.0201	1	0	1	0
47	111	500	0	34	0
48	1.74	40	0	19	1
49	0.796	5	0	10	2
50	0.11	2	0	4	0
51	62.7	400	0	28	0
52	0.0249	1	0	1	1
53	2.42	50	0	20	1
54	5.53	200	0	18	2
55	37.6	200	0	19	2
56	0.242	2	0	6	1
57	1.12	4	0.95	5	0
58	8.85	50	0	20	0
59	0.317	2	0	7	1
60	0.00864	1	0	1	2
61	0.749	10	0	12	1
62	7.7	100	0	25	1
63	0.798	10	0	13	1
64	0.0444	1	0	2	0
65	6.65	20	5.53	13	0
66	14.6	200	0	22	0
67	162	1000	0	29	2
68	3.69	100	0	16	2
69	0.892	20	0	12	2
70	3.49	40	0	16	0
71	0.0256	1	0	2	1
72	0.711	20	0	12	0
73	11.5	50	8.85	15	2
74	71.9	400	0	29	0
75	17.9	200	0	26	1
76	7.58	50	0	24	1
77	0.0285	1	0	2	2
78	0.251	2	0	5	2
79	73.4	400	6.65	22	2
80	1.44	4	0.892	9	1
81	135	500	0	28	2
82	0.427	4	0	6	2
83	0.291	5	0	7	0
84	0.351	2	0	8	1
85	176	1000	0	30	1
86	61.7	500	0	29	1
87	0.0943	1	0	3	0
88	0.22	4	0	6	0
89	97.8	400	0	32	0
90	0.054	1	0	3	1
91	33.2	400	0	27	1
92	6.89	50	0	17	0
93	11.7	100	0	21	0
94	0.298	1	0.242	3	2
95	32.8	400	0	26	0
96	99.9	500	0	33	0
97	0.997	20	0	13	2
98	1.22	40	0	14	2
99	186	1000	0	30	2
----------------------------------------
1481406534
task	R	T	Offset	priority	allocation
0	0.931	10	0	12	0
1	89.5	400	0.301	31	0
2	23.7	40	17.3	19	0
3	6.94	40	0.0774	20	0
4	0.32	5	0	7	1
5	0.12	2	0	3	2
6	5.75	50	0	24	2
7	0.13	2	0	4	2
8	0.149	1	0.13	0	0
9	6.75	50	0	26	2
10	31.9	400	4.22	17	1
11	0.0406	1	0	0	1
12	6.9	10	5.75	13	0
13	25.9	200	0.123	32	2
14	28.6	100	16.7	28	2
15	0.542	4	0	10	2
16	0.194	5	0	8	0
17	167	1000	31.4	34	0
18	1.79	20	0.0183	18	2
19	0.0229	1	0	0	2
20	5.27	40	0.605	22	2
21	0.125	4	0	6	0
22	29.4	200	0	26	0
23	19.6	200	0	25	0
24	77.4	500	0	38	2
25	87.1	400	33.8	34	2
26	0.0284	1	0	1	0
27	57.2	500	0.507	35	2
28	3.44	20	0	16	0
29	0.553	5	0	9	0
30	0.812	10	0	11	0
31	0.53	4	0	9	2
32	13.7	100	0	29	2
33	0.176	2	0	5	2
34	0.606	10	0	9	1
35	206	1000	33.8	41	2
36	2.99	100	0	14	1
37	0.301	5	0	6	1
38	12	200	0	15	1
39	73.6	200	0	28	0
40	115	400	0	32	0
41	3.62	4	3.44	5	1
42	3.95	5	3.44	8	1
43	1.17	10	0	15	2
44	0.916	50	0	11	1
45	0.105	1	0	1	1
46	1.73	50	0	12	1
47	15.5	200	0	16	1
48	30	400	0	19	1
49	1.95	50	0	13	1
50	30	400	0.176	18	1
51	44.4	1000	0.235	21	1
52	0.053	2	0	4	0
53	11.9	100	0.105	27	2
54	0.0703	1	0	1	2
55	135	1000	0	40	2
56	95.9	500	0.053	39	2
57	0.0353	1	0	2	0
58	0.741	5	0	12	2
59	0.126	2	0	4	1
60	0.189	2	0	6	2
61	73.9	500	0	37	2
62	0.106	1	0	2	1
63	0.235	2	0	7	2
64	31.1	400	0	20	1
65	1.52	5	0.916	10	0
66	0.993	1	0.916	2	2
67	6.66	50	0	25	2
68	1.82	20	0	19	2
69	17.2	200	0	31	2
70	1.27	10	0	14	0
71	0.331	2	0	8	2
72	0.864	5	0	13	2
73	4.98	40	0	23	2
74	0.76	20	0	10	1
75	8.69	40	0	21	0
76	75.7	200	0	29	0
77	14.4	100	0	22	0
78	67.4	500	0	36	2
79	1.34	20	0	17	2
80	1.29	10	0.106	16	2
81	0.63	4	0	11	2
82	0.115	2	0	5	0
83	195	1000	0	42	2
84	15.9	100	0	30	2
85	0.997	5	0	14	2
86	15.6	20	12	21	2
87	0.0373	1	0	3	0
88	3.2	20	0	15	0
89	0.123	1	0	3	1
90	26.8	200	0	33	2
91	0.149	4	0	7	0
92	76	400	0	30	0
93	14.8	100	0	23	0
94	5.72	20	0	17	0
95	1.84	20	0	20	2
96	6.36	40	0	18	0
97	16.7	200	0	24	0
98	134	500	0	33	0
99	45.8	200	12	27	0
----------------------------------------
1481406536
task	R	T	Offset	priority	allocation
0	7.21	100	0	24	0
1	9.19	100	0	25	0
2	35.5	200	11.6	27	0
3	0.0225	1	0	0	0
4	91.6	500	0	32	0
5	16	200	0.0413	19	1
6	0.226	4	0	6	0
7	231	500	57.8	34	0
8	5.49	100	0	22	0
9	0.234	4	0	7	0
10	0.446	2	0.234	2	2
11	0.474	4	0	6	1
12	0.14	2	0	3	0
13	0.299	4	0	8	0
14	3.9	100	0	13	1
15	0.441	4	0	9	0
16	0.545	4	0	7	1
17	288	1000	0.545	35	0
18	73.6	1000	0.335	24	1
19	33.7	500	0.317	21	1
20	0.49	5	0	6	2
21	4.17	40	0.545	18	0
22	0.793	20	0	11	2
23	3.45	100	0	18	2
24	1.98	40	0	15	2
25	337	1000	0	37	0
26	560	1000	337	31	2
27	3.99	100	0	19	2
28	29.7	400	0	26	2
29	0.189	2	0	4	0
30	234	1000	7.66	32	2
31	362	1000	6.88	38	0
32	369	1000	0.189	39	0
33	0.446	5	0	10	0
34	57.3	400	0	29	0
35	11.8	200	0.213	18	1
36	6.75	100	0	14	1
37	43.9	500	3.99	22	1
38	2.23	40	0.545	14	2
39	0.0265	1	0	0	1
40	0.678	10	0	8	2
41	7.66	100	0	16	1
42	0.24	1	0.189	0	2
43	29.3	400	0.657	25	2
44	0.317	2	0	3	2
45	2.39	40	0	16	2
46	0.53	5	0	7	2
47	23.8	400	0	20	1
48	6.88	100	0	15	1
49	3.56	50	0	11	1
50	4.86	50	0.0363	20	0
51	0.657	5	0	11	0
52	89.8	400	0	31	0
53	6.27	100	0	23	0
54	71.7	200	57.3	23	2
55	1.1	10	0	14	0
56	0.0305	1	0	1	0
57	0.0449	2	0	3	1
58	58.2	1000	0.793	23	1
59	22	400	0	24	2
60	0.461	4	0	5	1
61	4.66	40	0	19	0
62	0.547	4	0	8	1
63	0.33	2	0	4	2
64	1.23	20	0	12	2
65	0.0323	1	0	1	1
66	111	1000	0	25	1
67	2.68	40	0	17	2
68	0.0748	1	0	1	2
69	0.692	10	0	9	2
70	49.4	1000	0	29	2
71	1.37	20	0	13	2
72	0.0413	1	0	2	0
73	3.6	50	0	12	1
74	8.65	100	0	20	2
75	0.208	2	0	5	0
76	1.73	40	0	17	0
77	0.336	1	0.299	2	1
78	0.479	2	0.299	4	1
79	34.6	50	29.3	21	0
80	0.665	5	0	12	0
81	31.7	400	0	27	2
82	0.755	20	0	10	2
83	133	1000	0	30	2
84	9.51	100	0	17	1
85	13.1	200	0	22	2
86	4.54	5	3.99	9	1
87	128	500	0	33	0
88	69.8	400	0	30	0
89	14.4	40	13.1	10	1
90	9.62	100	0	21	2
91	46.9	400	0	28	2
92	0.335	2	0	5	2
93	1.6	20	0	16	0
94	336	1000	0	33	2
95	1.07	10	0	13	0
96	1.35	10	0	15	0
97	335	1000	0	36	0
98	9.56	200	0	26	0
99	54.6	400	0	28	0
----------------------------------------
1481406549
task	R	T	Offset	priority	allocation
0	8.65	50	0	18	1
1	22.5	200	0	21	1
2	25.4	200	0.445	22	1
3	59.7	400	0	25	1
4	26.8	40	22.5	18	2
5	0.63	20	0	8	0
6	73.8	400	2.33	26	1
7	11.4	400	0.00278	18	0
8	6.51	200	0	15	0
9	146	1000	0	25	0
10	0.348	5	0	6	0
11	23	400	8.65	19	0
12	0.0755	4	0	4	1
13	50.7	200	23	27	2
14	5.61	100	0.207	12	0
15	77.2	500	0.148	27	1
16	9.38	100	0.00278	19	1
17	0.119	2	0	1	2
18	0.207	4	0	4	2
19	129	500	0.0424	33	2
20	159	1000	0	35	2
21	1.91	20	0	12	2
22	6.09	200	0.224	14	0
23	163	1000	0.778	26	0
24	2.16	40	0	15	1
25	0.251	4	0	5	0
26	0.221	4	0	5	1
27	2.33	20	0	13	2
28	0.0583	2	0	2	0
29	0.25	5	0	7	1
30	1.05	20	0	12	1
31	2.45	20	0	14	2
32	0.224	4	0	6	1
33	2.87	20	0	15	2
34	1.37	10	0	9	2
35	124	1000	0	31	1
36	78.4	400	2.16	31	2
37	14.5	200	0	20	1
38	94.3	500	0.158	29	1
39	129	1000	0	32	1
40	1.93	2	1.91	2	1
41	8.79	400	0	16	0
42	138	500	0	34	2
43	5.58	40	0	20	2
44	17	400	1.37	20	0
45	0.829	10	0	10	1
46	0.158	2	0	2	2
47	13.1	100	0	25	2
48	4.85	40	1.28	17	2
